Name,SpeciesTag,Temperament,DietTag,SocialGroupTag,PerceptionRadius,TerritoryRadius,HungerSecondsUntilForage,FleeHealthThreshold,DefendHealthThreshold,bCanMigrateDuringWorldEvents,bFormsGroups,bDefendsYoung
Ecosystem_189_MagmaHydra,Echo.MagmaHydra,PackHunter,Diet.Carnivore,Group.Pack.07,2200,1450,870,0.30,0.50,true,true,true
Ecosystem_190_CrystalYeti,Echo.CrystalYeti,SolitaryApex,Diet.Carnivore,Group.Pack.01,2450,1600,960,0.18,0.55,false,false,false
Ecosystem_191_PlasmaWolf,Echo.PlasmaWolf,PackHunter,Diet.Carnivore,Group.Pack.02,2700,1750,1050,0.21,0.60,false,true,true
Ecosystem_192_VoidWyrm,Echo.VoidWyrm,Territorial,Diet.Carnivore,Group.Pack.03,2950,700,600,0.24,0.45,true,false,false
Ecosystem_193_MudBehemoth,Echo.MudBehemoth,PackHunter,Diet.Carnivore,Group.Pack.04,3200,850,690,0.27,0.50,false,true,true
Ecosystem_194_SolarMantis,Echo.SolarMantis,Territorial,Diet.Carnivore,Group.Pack.05,3450,1000,780,0.30,0.55,false,false,false
Ecosystem_195_GlacialGolem,Echo.GlacialGolem,SolitaryApex,Diet.Carnivore,Group.Pack.06,3700,1150,870,0.18,0.60,true,false,false
Ecosystem_196_SolarixAlpha,Echo.SolarixAlpha,Territorial,Diet.Carnivore,Group.Pack.07,2200,1300,960,0.21,0.45,false,false,false
Ecosystem_197_LeviathanPrime,Echo.LeviathanPrime,PackHunter,Diet.Carnivore,Group.Pack.01,2450,1450,1050,0.24,0.50,false,true,true
Ecosystem_198_IgnisaurOverlord,Echo.IgnisaurOverlord,Territorial,Diet.Carnivore,Group.Pack.02,2700,1600,600,0.27,0.55,true,false,false
Ecosystem_199_CryovexGlaciar,Echo.CryovexGlaciar,PackHunter,Diet.Carnivore,Group.Pack.03,2950,1750,690,0.30,0.60,false,true,true
Ecosystem_200_AstralosTheFirstDawn,Echo.AstralosTheFirstDawn,SolitaryApex,Diet.Carnivore,Group.Pack.04,3200,700,780,0.18,0.45,false,false,false
